Mes,Dia,Cipreses,Rapel,El_Toro,Colbun,Machicura,Canutillar,Pehuenche,Pangue,Ralco,Bocamina_II
Enero,1,185,150,5631,236,432,0,1298,890,0,6092
Enero,2,508,45,5734,3021,440,0,317,846,628,7127
Enero,3,1215,225,5774,2381,456,1133,3554,840,1864,7865
Enero,4,1080,640,5723,3108,456,628,8239,842,1083,7915
Enero,5,653,1390,5722,2276,456,1172,4637,905,755,7788
Enero,6,674,1495,5724,2899,432,1151,5607,1027,3847,7445
Enero,7,289,376,6208,1260,408,458,1487,1102,1698,7905
Enero,8,316,733,6207,1050,408,767,2467,1186,1203,6050
Enero,9,529,1126,6051,2041,408,1991,5270,2992,6011,0
Enero,10,631,1689,6035,3090,408,2093,3766,4249,5352,1029
Enero,11,582,1022,6086,3611,408,2252,3416,3613,5522,6169
Enero,12,667,380,6382,2313,408,2722,3587,4644,6140,0
Enero,13,780,1527,6531,1829,408,3703,4602,4771,6393,0
Enero,14,124,645,6591,792,408,1567,1685,1637,2809,0
Enero,15,232,0,6579,137,408,872,188,1394,731,0
Enero,16,649,419,6586,2310,408,2007,4996,3179,5413,0
Enero,17,410,746,6583,2409,408,2502,4060,2274,4733,4677
Enero,18,481,245,6598,1920,408,2023,2667,1280,2945,7901
Enero,19,479,476,6598,2295,408,1888,4321,1361,2691,7065
Enero,20,335,643,6592,3829,408,3130,2758,3455,5398,0
Enero,21,510,343,6590,1095,408,1809,2270,1449,2353,0
Enero,22,483,453,6610,1132,408,797,1834,1777,1314,4273
Enero,23,575,400,6609,1790,408,2842,4586,3248,5021,0
Enero,24,774,449,6774,2620,430,2773,3964,3238,4723,0
Enero,25,265,999,6984,3356,456,2531,5941,2759,3980,0
Enero,26,512,703,6967,3566,461,2494,3754,2098,3027,0
Enero,27,148,495,6977,2374,518,3525,3369,5663,6056,0
Enero,28,392,0,6980,335,456,3584,42,1692,5320,0
Enero,29,240,0,6947,594,456,1301,1617,1514,2176,0
Enero,30,240,432,6994,2478,530,2798,5974,2724,5041,0
Enero,31,348,413,6996,2870,596,1835,1370,1853,2742,6389
Febrero,32,522,342,7002,2707,456,1784,1455,1950,2714,7663
Febrero,33,404,106,7002,2830,514,1331,2837,1209,501,7952
Febrero,34,515,0,7007,3040,429,1207,2642,1209,246,7419
Febrero,35,240,0,7000,1492,419,1056,3119,1211,1975,8147
Febrero,36,277,10,7000,897,432,748,1126,1216,375,7540
Febrero,37,243,1221,6987,2688,432,2077,7535,2274,3294,7935
Febrero,38,379,329,6992,2499,432,2099,2160,1250,2714,8101
Febrero,39,419,385,6957,2538,432,1995,1657,1200,856,7821
Febrero,40,417,219,6993,2132,432,2039,2020,1208,2051,7852
Febrero,41,418,279,7010,2021,432,2063,4152,1200,967,7857
Febrero,42,305,0,6982,1624,432,1440,452,1200,0,7805
Febrero,43,277,0,6972,1571,432,603,3819,1200,632,826
Febrero,44,374,420,6991,2838,432,2072,4854,1227,2442,7747
Febrero,45,525,1273,6982,3161,432,2394,6794,1757,3388,8124
Febrero,46,350,217,6991,2449,422,2510,3728,1217,1742,8068
Febrero,47,98,365,7004,2120,408,935,2793,1201,1369,7565
Febrero,48,332,0,6988,1774,408,852,3012,1189,965,7676
Febrero,49,0,0,6981,1315,408,0,216,1384,0,6201
Febrero,50,0,0,7019,0,408,287,1116,1199,0,6157
Febrero,51,745,740,7000,2189,387,747,3962,1220,1012,7466
Febrero,52,556,2309,6997,3247,437,1328,6748,1373,3239,7592
Febrero,53,416,654,6327,3618,444,2531,6000,3208,5128,7896
Febrero,54,630,314,6315,2084,487,3505,2837,2202,5171,8363
Febrero,55,514,375,6326,2867,517,2871,3004,2968,5017,8264
Febrero,56,475,0,6326,940,384,2388,1270,2954,4132,8345
Febrero,57,387,0,6335,397,384,2234,1664,2810,4168,8336
Febrero,58,1043,4371,6326,3050,544,3547,3302,3810,4937,8360
Febrero,59,907,2443,6328,3414,544,3663,4787,4299,5323,8296
